time,x-axis,y-axis,z-axis,Event1,Event2,gpsdata,
61.261,-1.69,4.75,8.58,0,0,28.63445897,77.36615285

61.321,-0.46,4.9,9.19,0,0,28.63445897,77.36615285

61.381,-0.61,5.06,8.12,0,0,28.63445897,77.36615285

61.441,-0.92,5.36,7.81,0,0,28.63445897,77.36615285

61.501,-0.31,5.52,8.27,0,0,28.63445897,77.36615285

61.561,-0.61,4.9,7.2,0,0,28.63445897,77.36615285

61.621,-1.07,4.9,7.51,0,0,28.63445897,77.36615285

61.681,-1.07,3.52,7.35,0,0,28.63445897,77.36615285

61.741,-0.61,2.45,9.65,0,0,28.63445897,77.36615285

61.801,0.61,2.15,9.5,0,0,28.63445897,77.36615285

61.861,-1.38,1.99,9.5,0,0,28.63445897,77.36615285

61.921,-1.23,2.45,9.35,0,0,28.63445897,77.36615285

61.981,-1.23,2.3,9.65,0,0,28.63445897,77.36615285

62.041,-1.23,2.3,9.65,0,0,28.63445897,77.36615285

62.101,-1.23,2.3,9.35,0,0,28.63445897,77.36615285

62.161,-0.92,2.3,9.65,0,0,28.63445897,77.36615285

62.222,-0.92,2.3,9.5,0,0,28.63445897,77.36615285

62.28,-1.07,2.3,9.35,0,0,28.63445897,77.36615285

62.34,-1.07,2.3,9.35,0,0,28.63445897,77.36615285

62.4,-0.92,2.3,9.5,0,0,28.63445897,77.36615285

62.461,-0.92,2.3,9.5,0,0,28.63445897,77.36615285

62.52,-1.07,1.99,9.65,0,0,28.63445897,77.36615285

62.58,-1.07,2.3,9.35,0,0,28.63445897,77.36615285

62.641,-1.07,2.45,9.5,0,0,28.63445897,77.36615285

62.701,-0.92,2.3,9.65,0,0,28.63445897,77.36615285

62.761,-1.07,2.15,9.65,0,0,28.63445897,77.36615285

62.821,-1.53,1.84,9.5,0,0,28.63445897,77.36615285

62.881,-0.77,2.45,9.5,0,0,28.63445897,77.36615285

62.941,-1.38,2.45,10.11,0,0,28.63445897,77.36615285

63.001,-1.07,2.3,9.5,0,0,28.63445897,77.36615285

63.061,-1.23,1.99,9.65,0,0,28.63445897,77.36615285

63.123,-0.77,2.45,9.5,0,0,28.63445897,77.36615285

63.18,-1.07,2.76,9.65,0,0,28.63445897,77.36615285

63.24,-1.23,2.45,9.04,0,0,28.63445897,77.36615285

63.3,-1.23,2.45,9.35,0,0,28.63445897,77.36615285

63.361,-0.92,2.45,9.5,0,0,28.63445897,77.36615285

63.421,-1.38,2.76,9.5,0,0,28.63445897,77.36615285

63.481,-1.07,2.76,9.35,0,0,28.63445897,77.36615285

63.541,-0.77,2.3,9.5,0,0,28.63445897,77.36615285

63.601,-0.15,1.99,9.65,0,0,28.63445897,77.36615285

63.661,-0.31,3.22,9.96,0,0,28.63445897,77.36615285

63.721,-0.77,2.3,9.65,0,0,28.63445897,77.36615285

63.781,-0.92,2.45,9.5,0,0,28.63445897,77.36615285

63.841,-0.31,2.76,9.19,0,0,28.63445897,77.36615285

63.901,-0.46,2.6,9.04,0,0,28.63445897,77.36615285

63.961,-0.31,2.76,10.57,0,0,28.63445897,77.36615285

64.021,-0.46,2.6,9.5,0,0,28.63445897,77.36615285

64.08,-0.46,2.45,9.04,0,0,28.63445897,77.36615285

64.14,-0.46,2.76,9.5,0,0,28.63445897,77.36615285

64.2,-0.77,2.91,9.5,0,0,28.63445897,77.36615285

64.261,-0.15,3.06,9.5,0,0,28.63445897,77.36615285

64.32,-0.15,3.06,9.19,0,0,28.63445897,77.36615285

64.38,-0.15,2.76,9.19,0,0,28.63445897,77.36615285

64.441,-0.31,2.76,9.35,0,0,28.63445897,77.36615285

64.501,-0.15,2.91,9.35,0,0,28.63445897,77.36615285

64.561,-2.6,3.22,8.89,0,0,28.63445897,77.36615285

64.621,0.31,3.06,9.5,0,0,28.63445897,77.36615285

64.681,0.46,3.06,9.19,0,0,28.63445897,77.36615285

64.741,0.46,3.83,9.35,0,0,28.63445897,77.36615285

64.801,0.31,2.15,9.5,0,0,28.63445897,77.36615285

64.861,-0.15,2.45,9.35,0,0,28.63445897,77.36615285

64.921,-0.31,3.22,9.5,0,0,28.63445897,77.36615285

64.981,0.15,3.22,9.19,0,0,28.63445897,77.36615285

65.041,-0.31,3.06,9.04,0,0,28.63445897,77.36615285

65.101,-0.15,2.91,9.5,0,0,28.63445897,77.36615285

65.161,0.15,2.76,9.04,0,0,28.63445897,77.36615285

65.221,0.77,3.06,9.5,0,0,28.63445897,77.36615285

65.281,0.15,2.76,9.5,0,0,28.63445897,77.36615285

65.341,0.31,3.06,9.19,0,0,28.63445897,77.36615285

65.401,0.15,3.06,9.04,0,0,28.63445897,77.36615285

65.461,-0.15,3.22,9.19,0,0,28.63445897,77.36615285

65.521,0.31,2.91,9.19,0,0,28.63445897,77.36615285

65.581,0.46,2.91,9.35,0,0,28.63445897,77.36615285

65.641,0.46,3.06,9.35,0,0,28.63445897,77.36615285

65.7,0.31,2.6,9.65,0,0,28.63445897,77.36615285

65.76,0.46,2.91,9.19,0,0,28.63445897,77.36615285

65.82,0.15,3.06,9.5,0,0,28.63445897,77.36615285

65.881,0.46,2.3,9.35,0,0,28.63445897,77.36615285

65.941,0.46,3.37,9.5,0,0,28.63445897,77.36615285

66.001,0.92,2.15,9.5,0,0,28.63445897,77.36615285

66.061,0.15,2.76,9.35,0,0,28.63445897,77.36615285

66.12,0.15,3.37,9.96,0,0,28.63445897,77.36615285

66.181,-1.38,2.6,9.35,0,0,28.63445897,77.36615285

66.241,0.92,1.99,9.5,0,0,28.63445897,77.36615285

66.301,0.31,2.91,9.81,0,0,28.63445897,77.36615285

