time,x-axis,y-axis,z-axis,Event1,Event2, ,
54.27 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.293 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.317 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

54.337 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

54.354 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.374 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.394 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.414 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.434000000000005 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.454 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.474000000000004 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.494 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.514 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.534 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.554 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

54.574 s,-1.07,1.99,9.04,0,0,28.64549966,77.31796781

54.594 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.614000000000004 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

54.634 s,-1.07,1.99,9.19,0,0,28.64549966,77.31796781

54.654 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.674 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.694 s,-1.07,1.84,9.19,0,0,28.64549966,77.31796781

54.714 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

54.734 s,-1.23,1.84,9.19,0,0,28.64549966,77.31796781

54.754 s,-1.23,1.84,9.04,0,0,28.64549966,77.31796781

54.774 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

54.794000000000004 s,-1.07,1.84,9.04,0,0,28.64549966,77.31796781

